symptom,possible_causes,home_remedy,lifestyle_tip,warning_sign,risk_level,yoga_or_exercise
Headache,Stress; dehydration; eye strain; sinusitis; tension; migraine,Stay hydrated; apply cold compress to forehead; rest in a dark quiet room; peppermint oil on temples,Maintain regular sleep schedule; limit screen time; manage stress; stay hydrated,Sudden severe headache unlike any before; headache with fever stiff neck and confusion; vision changes,moderate,Deep breathing exercises; neck stretches; Shavasana (corpse pose)
Fever,Viral infection; bacterial infection; inflammatory condition; heat exhaustion,Stay hydrated with warm fluids; tepid sponging; rest adequately; light and digestible food,Wash hands frequently; get adequate sleep; maintain good hygiene,Fever above 103°F; fever lasting more than 3 days; fever with rash; difficulty breathing,moderate,Rest is priority; gentle walking once fever subsides; Pranayama (breathing exercises)
Cough,Common cold; allergies; acid reflux; bronchitis; post-nasal drip,Honey and warm water; steam inhalation; ginger tea; gargling with salt water; throat lozenges,Avoid smoke and dust; use humidifier; stay hydrated; cover mouth while coughing,Coughing blood; persistent cough more than 3 weeks; cough with high fever; difficulty breathing,moderate,Steam inhalation; Anulom Vilom (alternate nostril breathing); gentle chest stretches
Sore Throat,Viral infection; bacterial infection (strep); dry air; allergies; acid reflux,Gargle with warm salt water; drink warm honey lemon tea; suck on ice chips; throat lozenges,Stay hydrated; use humidifier; avoid smoking; practice good hand hygiene,Difficulty swallowing or breathing; severe throat pain; blood in saliva; lump in neck,moderate,Ujjayi breathing (ocean breath); gentle neck stretches; humming exercises
Nausea,Motion sickness; food poisoning; medication side effect; pregnancy; anxiety,Sip ginger tea; eat small bland meals; breathe fresh air; peppermint tea; crackers,Eat slowly; avoid spicy or fatty foods; stay upright after meals; avoid strong odors,Persistent vomiting; blood in vomit; severe abdominal pain; signs of dehydration,moderate,Deep diaphragmatic breathing; Supta Baddha Konasana (reclined bound angle); light walking
Diarrhea,Food poisoning; viral infection; medication side effect; IBS; food intolerance,ORS solution; BRAT diet (banana rice applesauce toast); stay hydrated; avoid dairy,Wash hands before eating; eat cooked food; avoid street food when unwell; probiotics,Blood in stool; diarrhea lasting more than 3 days; severe dehydration; high fever,moderate,Rest; gentle abdominal massage; Pawanmuktasana (wind-relieving pose)
Constipation,Low fiber diet; dehydration; sedentary lifestyle; medication side effect; stress,Increase fiber intake; drink warm water in morning; prune juice; psyllium husk; exercise,Eat fruits and vegetables daily; drink 8 glasses of water; regular exercise; don't ignore urge,Blood in stool; severe abdominal pain; constipation lasting more than 2 weeks; unexplained weight loss,low,Pawanmuktasana; Malasana (garland pose); abdominal twists; brisk walking
Dizziness,Dehydration; low blood pressure; inner ear issues; anemia; medication side effect,Sit or lie down immediately; drink water; eat something salty; avoid sudden movements,Stay hydrated; rise slowly from sitting; avoid alcohol; get regular exercise,Fainting; chest pain; severe headache; slurred speech; numbness,high,Shavasana with legs elevated; gentle neck rotations; balance exercises when stable
Chest Pain,Muscular strain; acid reflux; anxiety; costochondritis; cardiac issues,Rest; antacids for reflux-related pain; warm compress for muscular pain; deep breathing,Manage stress; regular exercise; healthy diet; avoid smoking; regular checkups,Crushing or pressure-like chest pain; pain radiating to arm or jaw; shortness of breath; sweating,critical,Seek medical attention first; gentle walking after clearance; stress-relieving Pranayama
Shortness of Breath,Asthma; anxiety; anemia; heart conditions; COPD; pneumonia,Sit upright; pursed lip breathing; stay calm; use prescribed inhaler; fan directed at face,Avoid triggers; maintain healthy weight; regular cardiovascular exercise; quit smoking,Sudden severe breathlessness; blue lips or fingers; chest pain; inability to speak full sentences,critical,Pursed lip breathing; diaphragmatic breathing; Bhramari Pranayama (bee breathing)
Stomach Pain,Indigestion; gas; food poisoning; ulcers; appendicitis; menstrual cramps,Warm water with lemon; ginger tea; heating pad on abdomen; peppermint tea; bland diet,Eat regular meals; chew food thoroughly; avoid spicy oily food; manage stress,Severe localized pain especially lower right; pain with fever and vomiting; blood in stool; rigid abdomen,moderate,Pawanmuktasana; Vajrasana (thunderbolt pose) after meals; gentle abdominal breathing
Back Pain,Poor posture; muscle strain; herniated disc; kidney issues; sedentary lifestyle,Hot or cold compress; gentle stretching; over-the-counter pain relief; maintain good posture,Regular exercise; ergonomic workstation; lift with legs not back; maintain healthy weight,Pain with numbness or tingling in legs; loss of bladder control; pain after trauma; fever with back pain,moderate,Cat-Cow stretch; Child's pose; Bhujangasana (cobra pose); gentle spinal twists
