drug_a,drug_b,severity,description
Warfarin,Aspirin,severe,Significantly increases bleeding risk. Both affect blood clotting through different mechanisms. Concurrent use requires close medical supervision.
Warfarin,Ibuprofen,severe,NSAIDs increase bleeding risk and may interfere with warfarin metabolism. Can cause serious gastrointestinal bleeding.
Warfarin,Naproxen,severe,Naproxen increases bleeding risk when combined with warfarin. May cause GI bleeding.
Warfarin,Fluconazole,severe,Fluconazole inhibits warfarin metabolism leading to dangerously elevated anticoagulant effects.
Warfarin,Metronidazole,moderate,Metronidazole may increase warfarin effect and bleeding risk. Monitor INR closely.
Warfarin,Amiodarone,severe,Amiodarone significantly increases warfarin levels. Dose adjustment and close INR monitoring required.
Warfarin,Clopidogrel,severe,Combined anticoagulant and antiplatelet effect greatly increases bleeding risk.
Aspirin,Ibuprofen,moderate,Ibuprofen may reduce the cardioprotective effect of aspirin. Take aspirin at least 30 minutes before ibuprofen.
Aspirin,Clopidogrel,moderate,Both are antiplatelet agents. Combination increases bleeding risk but may be prescribed together under supervision.
Aspirin,Naproxen,moderate,Concurrent NSAID use increases risk of GI bleeding and ulcers.
Aspirin,Heparin,severe,Major increase in bleeding risk. Both affect clotting mechanisms.
Metformin,Alcohol,moderate,Alcohol increases the risk of lactic acidosis with metformin. Avoid excessive alcohol consumption.
Metformin,Furosemide,moderate,Furosemide may increase metformin levels. Monitor blood sugar and kidney function.
Metformin,Ciprofloxacin,moderate,Ciprofloxacin may alter blood sugar levels when used with metformin. Monitor glucose closely.
Metformin,Contrast Dye,severe,Metformin should be stopped before and after contrast media procedures due to lactic acidosis risk.
Simvastatin,Amiodarone,severe,Amiodarone increases simvastatin levels significantly raising risk of muscle damage (rhabdomyolysis).
Simvastatin,Fluconazole,severe,Fluconazole inhibits statin metabolism leading to elevated levels and muscle toxicity risk.
Simvastatin,Diltiazem,moderate,Diltiazem increases simvastatin levels. Maximum simvastatin dose should be limited.
Simvastatin,Verapamil,moderate,Verapamil increases simvastatin levels. Dose limitation recommended.
Atorvastatin,Fluconazole,moderate,Fluconazole may increase statin levels. Monitor for muscle pain or weakness.
Atorvastatin,Ketoconazole,severe,Ketoconazole significantly increases atorvastatin levels risking rhabdomyolysis.
Amlodipine,Simvastatin,moderate,Amlodipine increases simvastatin levels. Simvastatin dose should not exceed 20mg.
ACE Inhibitor,Potassium Supplement,moderate,ACE inhibitors can increase potassium levels. Adding potassium supplements may cause dangerous hyperkalemia.
Ramipril,Spironolactone,moderate,Both increase potassium levels. Risk of hyperkalemia when combined.
